[option]color,[option]size,category,master_sku,sku,name,price,available_on,description,meta_description,meta_keywords,cost_price,(default)quantity,(online)quantity,[option]scent,[option]style,[option] color
SILVER,OS,Categories -> STORIES,-6658226437098106884,-6658226435504271364,LOW LUV CRESCENT DANGLE EARRING,65.0,,"<p>
	<span style=""font-size:12px;""><span style=""font-family: georgia,serif;"">Model/designer/stylist Erin <span data-scayt_word=""Wasson"" data-scaytid=""1"">Wasson</span> experiments with jewelry made from 14-karat gold and silver-plated materials.&nbsp; This season&rsquo;s pieces are inspired by Nordic and Aztec designs. </span></span></p>
 <hr/> <p>
	<span style=""font-family:georgia,serif;"">Low <span data-scayt_word=""Luv"" data-scaytid=""3"">Luv</span> x Erin <span data-scayt_word=""Wasson"" data-scaytid=""5"">Wasson</span>.</span></p>
<p>
	<span style=""font-size:12px;""><span style=""font-family: georgia,serif;"">Oxidized, silver-plated dangle earrings.&nbsp; </span></span></p>
<p>
	<span style=""font-size: 12px;""><span style=""font-family: georgia,serif;"">Made in the USA.</span></span></p>
","LOW LUV, CRESCENT DANGLE EARRING: Model/designer/stylist Erin Wasson experiments with jewelry made from 14-karat gold and silver-plated materials. This seasons pieces are inspired by Nordic and Aztec designs. ","crescent,dangle,earring,low,luv,accessories,earrings,model,designer,stylist,erin,wasson,experiments,jewelry,made,karat,gold,sil",65.0,0,0,,,
SILVER,7,Categories -> STORIES,-6610904751881646084,-6658209046364483588,LOW LUV HEMATITE RING,48.0,,"<p>
	<span style=""font-size:14px;""><span style=""font-family: georgia,serif;"">Model/designer/stylist Erin <span data-scayt_word=""Wasson"" data-scaytid=""1"">Wasson</span> experiments with jewelry made from 14-karat gold and silver-plated materials.&nbsp; This season&rsquo;s pieces are inspired by Nordic and Aztec designs. </span></span></p>
 <hr/> <p>
	<span style=""font-size:14px;""><strong><span style=""font-family:georgia,serif;"">FINAL SALE!</span></strong></span></p>
<p>
	<span style=""font-size:14px;""><span style=""font-family:georgia,serif;"">Low <span data-scayt_word=""Luv"" data-scaytid=""3"">Luv</span> x Erin <span data-scayt_word=""Wasson"" data-scaytid=""2"">Wasson</span>.</span></span></p>
<p>
	<span style=""font-size:14px;""><span style=""font-family: georgia,serif;"">Gold or silver-plated ring with mirror finish.</span></span></p>
<p>
	<span style=""font-size:14px;""><span style=""font-family: georgia,serif;"">Made in the USA!</span></span></p>
","LOW LUV, HEMATITE RING: Model/designer/stylist Erin Wasson experiments with jewelry made from 14-karat gold and silver-plated materials. This seasons pieces are inspired by Nordic and Aztec designs. ","hematite,ring,low,luv,accessories,rings,model,designer,stylist,erin,wasson,experiments,jewelry,made,karat,gold,silver,plated,ma",95.0,0,0,,,
SILVER,6,Categories -> STORIES,-6610904751881646084,-6658209050592342020,LOW LUV HEMATITE RING,48.0,,"<p>
	<span style=""font-size:14px;""><span style=""font-family: georgia,serif;"">Model/designer/stylist Erin <span data-scayt_word=""Wasson"" data-scaytid=""1"">Wasson</span> experiments with jewelry made from 14-karat gold and silver-plated materials.&nbsp; This season&rsquo;s pieces are inspired by Nordic and Aztec designs. </span></span></p>
 <hr/> <p>
	<span style=""font-size:14px;""><strong><span style=""font-family:georgia,serif;"">FINAL SALE!</span></strong></span></p>
<p>
	<span style=""font-size:14px;""><span style=""font-family:georgia,serif;"">Low <span data-scayt_word=""Luv"" data-scaytid=""3"">Luv</span> x Erin <span data-scayt_word=""Wasson"" data-scaytid=""2"">Wasson</span>.</span></span></p>
<p>
	<span style=""font-size:14px;""><span style=""font-family: georgia,serif;"">Gold or silver-plated ring with mirror finish.</span></span></p>
<p>
	<span style=""font-size:14px;""><span style=""font-family: georgia,serif;"">Made in the USA!</span></span></p>
","LOW LUV, HEMATITE RING: Model/designer/stylist Erin Wasson experiments with jewelry made from 14-karat gold and silver-plated materials. This seasons pieces are inspired by Nordic and Aztec designs. ","hematite,ring,low,luv,accessories,rings,model,designer,stylist,erin,wasson,experiments,jewelry,made,karat,gold,silver,plated,ma",95.0,0,0,,,
GOLD,7,Categories -> STORIES,-6610904751881646084,-6658210785692020740,LOW LUV HEMATITE RING,48.0,,"<p>
	<span style=""font-size:14px;""><span style=""font-family: georgia,serif;"">Model/designer/stylist Erin <span data-scayt_word=""Wasson"" data-scaytid=""1"">Wasson</span> experiments with jewelry made from 14-karat gold and silver-plated materials.&nbsp; This season&rsquo;s pieces are inspired by Nordic and Aztec designs. </span></span></p>
 <hr/> <p>
	<span style=""font-size:14px;""><strong><span style=""font-family:georgia,serif;"">FINAL SALE!</span></strong></span></p>
<p>
	<span style=""font-size:14px;""><span style=""font-family:georgia,serif;"">Low <span data-scayt_word=""Luv"" data-scaytid=""3"">Luv</span> x Erin <span data-scayt_word=""Wasson"" data-scaytid=""2"">Wasson</span>.</span></span></p>
<p>
	<span style=""font-size:14px;""><span style=""font-family: georgia,serif;"">Gold or silver-plated ring with mirror finish.</span></span></p>
<p>
	<span style=""font-size:14px;""><span style=""font-family: georgia,serif;"">Made in the USA!</span></span></p>
","LOW LUV, HEMATITE RING: Model/designer/stylist Erin Wasson experiments with jewelry made from 14-karat gold and silver-plated materials. This seasons pieces are inspired by Nordic and Aztec designs. ","hematite,ring,low,luv,accessories,rings,model,designer,stylist,erin,wasson,experiments,jewelry,made,karat,gold,silver,plated,ma",95.0,1,0,,,
GOLD,6,Categories -> STORIES,-6610904751881646084,-6658212934719172612,LOW LUV HEMATITE RING,48.0,,"<p>
	<span style=""font-size:14px;""><span style=""font-family: georgia,serif;"">Model/designer/stylist Erin <span data-scayt_word=""Wasson"" data-scaytid=""1"">Wasson</span> experiments with jewelry made from 14-karat gold and silver-plated materials.&nbsp; This season&rsquo;s pieces are inspired by Nordic and Aztec designs. </span></span></p>
 <hr/> <p>
	<span style=""font-size:14px;""><strong><span style=""font-family:georgia,serif;"">FINAL SALE!</span></strong></span></p>
<p>
	<span style=""font-size:14px;""><span style=""font-family:georgia,serif;"">Low <span data-scayt_word=""Luv"" data-scaytid=""3"">Luv</span> x Erin <span data-scayt_word=""Wasson"" data-scaytid=""2"">Wasson</span>.</span></span></p>
<p>
	<span style=""font-size:14px;""><span style=""font-family: georgia,serif;"">Gold or silver-plated ring with mirror finish.</span></span></p>
<p>
	<span style=""font-size:14px;""><span style=""font-family: georgia,serif;"">Made in the USA!</span></span></p>
","LOW LUV, HEMATITE RING: Model/designer/stylist Erin Wasson experiments with jewelry made from 14-karat gold and silver-plated materials. This seasons pieces are inspired by Nordic and Aztec designs. ","hematite,ring,low,luv,accessories,rings,model,designer,stylist,erin,wasson,experiments,jewelry,made,karat,gold,silver,plated,ma",95.0,0,0,,,
SILVER,OS,Categories -> STORIES,-6610907979625066500,-6658223174374191108,LOW LUV DOUBLE CRESCENT NECKLACE,40.0,,"<p>
	<span style=""font-size:12px;""><span style=""font-family: georgia,serif;"">Model/designer/stylist Erin <span data-scayt_word=""Wasson"" data-scaytid=""1"">Wasson</span> experiments with jewelry made from 14-karat gold and silver-plated materials.&nbsp; This season&rsquo;s pieces are inspired by Nordic and Aztec designs. </span></span></p>
 <hr/> <p>
	<span style=""font-family:georgia,serif;"">Low <span data-scayt_word=""Luv"" data-scaytid=""3"">Luv</span> x Erin <span data-scayt_word=""Wasson"" data-scaytid=""2"">Wasson</span>.</span></p>
<p>
	<span style=""font-size:12px;""><span style=""font-family: georgia,serif;""><span class=""detailsDescription"">Oxidized, silver or gold-plated necklace features crescent details at the double-strand inset. Lobster-claw clasp. </span></span></span></p>
<p>
	<span style=""font-size:12px;""><span style=""font-family: georgia,serif;""><span class=""detailsDescription"">23&quot; long.</span></span></span></p>
<p>
	<span style=""font-size:12px;""><span style=""font-family: georgia,serif;"">Made in the USA.</span></span></p>
","LOW LUV, DOUBLE CRESCENT NECKLACE: Model/designer/stylist Erin Wasson experiments with jewelry made from 14-karat gold and silver-plated materials. This seasons pieces are inspired by Nordic and Aztec designs. ","double,crescent,necklace,low,luv,necklaces,accessories,model,designer,stylist,erin,wasson,experiments,jewelry,made,karat,gold,s",40.0,0,0,,,
GOLD,,Categories -> STORIES,-6569565175791808516,-65695651757918085161,BING BANG TINY SKULL CUFF GOLD,68.0,,"<p>
	<span style=""font-size:12px;""><span style=""font-family: georgia,serif;"">Founded in 2002, Bing Bang has captured the hearts, necklines and wrists of downtown darlings who are both salty &amp; sweet, by pairing a Punk Rock sensibility with elegant Victorian femininity, to create a unique line of unforgettable keepsakes.&nbsp; Each piece is fashioned in the brand&rsquo;s signature <span data-scayt_word=""aesthetic"" data-scaytid=""1"">aesthetic</span> with layered sterling and brass chains, mixed metal finishes, curious charms &amp; distressed lockets, often with bits of turquoise, pearls or Swarovski crystals.</span></span></p>
 <hr/> <p>
	<span style=""font-family:georgia,serif;"">Bing Bang by Anna Sheffield.</span></p>
<p>
	<span style=""font-family: georgia,serif;"">Six tiny skulls adorn this hand hammered bar cuff, perfect for stacking!</span></p>
<p>
	<span style=""font-family: georgia,serif;"">Brass and oxidized silver plate.</span></p>
","ANNA SHEFFIELD, TINY SKULL CUFF: Founded in 2002, Bing Bang has captured the hearts, necklines and wrists of downtown darlings who are both salty & sweet, by pairing a Punk Rock sensibility with elegant Victorian femininity, to create a unique lin","tiny,skull,cuff,anna,sheffield,bracelets,accessories,founded,2002,bing,bang,has,captured,hearts,necklines,wrists,downtown,darli",68.0,0,0,,,
SILVER/GOLD,,Categories -> STORIES,-6655809558689673220,-6655809560333840388,BING BANG PETITE PENDULUM NECKLACE,68.0,,"<p>
	<span style=""font-size:12px;""><span style=""font-family: georgia,serif;"">Founded in 2002, Bing Bang has captured the hearts, necklines and wrists of downtown darlings who are both salty &amp; sweet, by pairing a Punk Rock sensibility with elegant Victorian femininity, to create a unique line of unforgettable keepsakes.&nbsp; Each piece is fashioned in the brand&rsquo;s signature <span data-scayt_word=""aesthetic"" data-scaytid=""1"">aesthetic</span> with layered sterling and brass chains, mixed metal finishes, curious charms &amp; distressed lockets, often with bits of turquoise, pearls or Swarovski crystals.</span></span></p>
 <hr/> <p>
	<span style=""font-size:12px;""><span style=""font-family: georgia,serif;"">Bing Bang by Anna Sheffield.</span></span></p>
<p>
	<span style=""font-size:12px;""><span style=""font-family: georgia,serif;"">Yellow gold plated and silver plated chains with a rose gold plated pendulum.</span></span></p>
<p>
	<span style=""font-size:12px;""><span style=""font-family: georgia,serif;"">18&quot; chain.</span></span></p>
","ANNA SHEFFIELD, PETITE PENDULUM NECKLACE: Founded in 2002, Bing Bang has captured the hearts, necklines and wrists of downtown darlings who are both salty & sweet, by pairing a Punk Rock sensibility with elegant Victorian femininity, to create a u","petite,pendulum,necklace,anna,sheffield,necklaces,accessories,founded,2002,bing,bang,has,captured,hearts,necklines,wrists,downt",68.0,0,0,,,
SILVER,,Categories -> SALE,-6655879326650134532,-66558793260713205801,DOUBLE VICTORIAN CROSS BANGLE SILVER,38.0,,"<p>
	<span style=""font-size:12px;""><span style=""font-family: georgia,serif;"">Founded in 2002, Bing Bang has captured the hearts, necklines and wrists of downtown darlings who are both salty &amp; sweet, by pairing a Punk Rock sensibility with elegant Victorian femininity, to create a unique line of unforgettable keepsakes.&nbsp; Each piece is fashioned in the brand&rsquo;s signature <span data-scayt_word=""aesthetic"" data-scaytid=""1"">aesthetic</span> with layered sterling and brass chains, mixed metal finishes, curious charms &amp; distressed lockets, often with bits of turquoise, pearls or Swarovski crystals.</span></span></p>
 <hr/> <p>
	<span style=""font-family:georgia,serif;""><span style=""font-size:12px;"">Bing Bang by Anna Sheffield.</span></span></p>
<p>
	<span style=""font-family:georgia,serif;""><span style=""font-size:12px;"">Victorian cross detailing can be worn at the front or back of wrist, flexible fit and unisex!</span></span></p>
<p>
	<span style=""font-family: georgia,serif;""><span style=""font-size: 12px;"">Brass with an oxidized silver plated finish.</span></span></p>
","ANNA SHEFFIELD, DOUBLE VICTORIAN CROSS BANGLE: Founded in 2002, Bing Bang has captured the hearts, necklines and wrists of downtown darlings who are both salty & sweet, by pairing a Punk Rock sensibility with elegant Victorian femininity, to creat","double,victorian,cross,bangle,anna,sheffield,accessories,bracelets,founded,2002,bing,bang,has,captured,hearts,necklines,wrists,",68.0,0,0,,,
SILVER,,Categories -> STORIES,SKU17639,SKU176391,BING BANG CROSS STUDS SILVER,38.0,,"<p>
	<span style=""font-size:14px;""><span><span style=""font-family: georgia,serif;"">Founded in 2002, Bing Bang has captured the hearts, necklines and wrists of downtown darlings who are both salty &amp; sweet, by pairing a Punk Rock sensibility with elegant Victorian femininity, to create a unique line of unforgettable keepsakes.&nbsp; Each piece is fashioned in the brand&rsquo;s signature <span data-scayt_word=""aesthetic"" data-scaytid=""1"">aesthetic</span> with layered sterling and brass chains, mixed metal finishes, curious charms &amp; distressed lockets, often with bits of turquoise, pearls or Swarovski crystals.</span></span></span></p>
 <hr/> <p>
	<span style=""font-family:georgia,serif;""><span style=""font-size:14px;"">Bing Bang by Anna Sheffield.</span></span></p>
<p>
	<span style=""font-family: georgia,serif;""><span style=""font-size: 14px;""><span data-scayt_word=""Antiqued"" data-scaytid=""2"">Antiqued</span> silver plated studs featuring a textured cross.</span></span></p>
","","",38.0,0,0,,,
GOLD,,Categories -> STORIES,SKU17660GOLD,SKU176601,BING BANG TINY SKULL STUDS GOLD,30.0,,"<p>
	<span style=""font-size:14px;""><span><span style=""font-family: georgia,serif;"">Founded in 2002, Bing Bang has captured the hearts, necklines and wrists of downtown darlings who are both salty &amp; sweet, by pairing a Punk Rock sensibility with elegant Victorian femininity, to create a unique line of unforgettable keepsakes.&nbsp; Each piece is fashioned in the brand&rsquo;s signature <span data-scayt_word=""aesthetic"" data-scaytid=""1"">aesthetic</span> with layered sterling and brass chains, mixed metal finishes, curious charms &amp; distressed lockets, often with bits of turquoise, pearls or Swarovski crystals.</span></span></span></p>
 <hr/> <p>
	<span style=""font-size:14px;""><span style=""font-family: georgia,serif;"">Bing Bang by Anna Sheffield.</span></span></p>
<p>
	<span style=""font-size:14px;""><span style=""font-family: georgia,serif;"">Tiny carved skull earrings with centered post backing.</span></span></p>
<p>
	<span style=""font-size:14px;""><span style=""font-family: georgia,serif;"">Sterling silver, gold plated.</span></span></p>
<p>
	<span style=""font-size:14px;""><span style=""font-family: georgia,serif;"">0.125&quot; long.</span></span></p>
","","",30.0,0,0,,,
ANTHRACITE,S,Categories -> STORIES,SKU17673,SKU176731,COSABELLA SWEETIE SOFT BRA ANTHRACITE,48.0,,"<p>
	<span style=""font-size:14px;""><span style=""font-family: georgia,serif;""><span data-scayt_word=""Cosabella"" data-scaytid=""1"">Cosabella</span> is famous for its use of vibrant, cutting-edge colors and it believes that a woman&rsquo;s lingerie should be able to reflect her every mood.</span></span></p>
 <hr/> <p>
	<span style=""font-size:14px;""><span style=""font-family: georgia,serif;""><span data-scayt_word=""Cosabella"" data-scaytid=""2"">Cosabella</span>.</span></span></p>
<p>
	<span style=""font-size:14px;""><span style=""font-family: georgia,serif;"">Wireless, <span data-scayt_word=""lycra"" data-scaytid=""4"">lycra</span> stretch bra with scallop edge design.</span></span></p>
<p>
	<span style=""font-size:14px;""><span style=""font-family: georgia,serif;"">78% <span data-scayt_word=""Polyammide"" data-scaytid=""5"">Polyammide</span>, 10% Viscose, 12% <span data-scayt_word=""Elastam"" data-scaytid=""6"">Elastam</span>.</span></span></p>
","","",48.0,0,0,,,
ANTHRACITE,M,Categories -> STORIES,SKU17673,SKU1767311,COSABELLA SWEETIE SOFT BRA ANTHRACITE,48.0,,"<p>
	<span style=""font-size:14px;""><span style=""font-family: georgia,serif;""><span data-scayt_word=""Cosabella"" data-scaytid=""1"">Cosabella</span> is famous for its use of vibrant, cutting-edge colors and it believes that a woman&rsquo;s lingerie should be able to reflect her every mood.</span></span></p>
 <hr/> <p>
	<span style=""font-size:14px;""><span style=""font-family: georgia,serif;""><span data-scayt_word=""Cosabella"" data-scaytid=""2"">Cosabella</span>.</span></span></p>
<p>
	<span style=""font-size:14px;""><span style=""font-family: georgia,serif;"">Wireless, <span data-scayt_word=""lycra"" data-scaytid=""4"">lycra</span> stretch bra with scallop edge design.</span></span></p>
<p>
	<span style=""font-size:14px;""><span style=""font-family: georgia,serif;"">78% <span data-scayt_word=""Polyammide"" data-scaytid=""5"">Polyammide</span>, 10% Viscose, 12% <span data-scayt_word=""Elastam"" data-scaytid=""6"">Elastam</span>.</span></span></p>
","","",48.0,0,0,,,
BLUSH,S,Categories -> STORIES,SKU17674,SKU176741,COSABELLA SWEETIE SOFT BRA BLUSH,48.0,,"<p>
	<span style=""font-size:14px;""><span style=""font-family: georgia,serif;""><span data-scayt_word=""Cosabella"" data-scaytid=""1"">Cosabella</span> is famous for its use of vibrant, cutting-edge colors and it believes that a woman&rsquo;s lingerie should be able to reflect her every mood.</span></span></p>
 <hr/> <div style=""display: block;"">
	<p>
		<span style=""font-size:14px;""><span style=""font-family: georgia,serif;""><span data-scayt_word=""Cosabella"" data-scaytid=""2"">Cosabella</span>.</span></span></p>
	<p>
		<span style=""font-size:14px;""><span style=""font-family: georgia,serif;"">Wireless, <span data-scayt_word=""lycra"" data-scaytid=""4"">lycra</span> stretch bra with scallop edge design.</span></span></p>
	<p>
		<span style=""font-size:14px;""><span style=""font-family: georgia,serif;"">78% <span data-scayt_word=""Polyammide"" data-scaytid=""5"">Polyammide</span>, 10% Viscose, 12% <span data-scayt_word=""Elastam"" data-scaytid=""6"">Elastam</span>.</span></span></p>
</div>
","","",48.0,0,0,,,
BLUSH,M,Categories -> STORIES,SKU17674,SKU1767411,COSABELLA SWEETIE SOFT BRA BLUSH,48.0,,"<p>
	<span style=""font-size:14px;""><span style=""font-family: georgia,serif;""><span data-scayt_word=""Cosabella"" data-scaytid=""1"">Cosabella</span> is famous for its use of vibrant, cutting-edge colors and it believes that a woman&rsquo;s lingerie should be able to reflect her every mood.</span></span></p>
 <hr/> <div style=""display: block;"">
	<p>
		<span style=""font-size:14px;""><span style=""font-family: georgia,serif;""><span data-scayt_word=""Cosabella"" data-scaytid=""2"">Cosabella</span>.</span></span></p>
	<p>
		<span style=""font-size:14px;""><span style=""font-family: georgia,serif;"">Wireless, <span data-scayt_word=""lycra"" data-scaytid=""4"">lycra</span> stretch bra with scallop edge design.</span></span></p>
	<p>
		<span style=""font-size:14px;""><span style=""font-family: georgia,serif;"">78% <span data-scayt_word=""Polyammide"" data-scaytid=""5"">Polyammide</span>, 10% Viscose, 12% <span data-scayt_word=""Elastam"" data-scaytid=""6"">Elastam</span>.</span></span></p>
</div>
","","",48.0,0,0,,,
COBALT,S,Categories -> STORIES,SKU17675,SKU176751,COSABELLA SWEETIE SOFT BRA COBALT,48.0,,"<p>
	<span style=""font-size:14px;""><span style=""font-family: georgia,serif;""><span data-scayt_word=""Cosabella"" data-scaytid=""1"">Cosabella</span> is famous for its use of vibrant, cutting-edge colors and it believes that a woman&rsquo;s lingerie should be able to reflect her every mood.</span></span></p>
 <hr/> <div style=""display: block;"">
	<div style=""display: block;"">
		<p>
			<span style=""font-size:14px;""><span style=""font-family: georgia,serif;""><span data-scayt_word=""Cosabella"" data-scaytid=""2"">Cosabella</span>.</span></span></p>
		<p>
			<span style=""font-size:14px;""><span style=""font-family: georgia,serif;"">Wireless, <span data-scayt_word=""lycra"" data-scaytid=""4"">lycra</span> stretch bra with scallop edge design.</span></span></p>
		<p>
			<span style=""font-size:14px;""><span style=""font-family: georgia,serif;"">78% <span data-scayt_word=""Polyammide"" data-scaytid=""5"">Polyammide</span>, 10% Viscose, 12% <span data-scayt_word=""Elastam"" data-scaytid=""6"">Elastam</span>.</span></span></p>
	</div>
</div>
","","",48.0,0,0,,,
COBALT,M,Categories -> STORIES,SKU17675,SKU1767511,COSABELLA SWEETIE SOFT BRA COBALT,48.0,,"<p>
	<span style=""font-size:14px;""><span style=""font-family: georgia,serif;""><span data-scayt_word=""Cosabella"" data-scaytid=""1"">Cosabella</span> is famous for its use of vibrant, cutting-edge colors and it believes that a woman&rsquo;s lingerie should be able to reflect her every mood.</span></span></p>
 <hr/> <div style=""display: block;"">
	<div style=""display: block;"">
		<p>
			<span style=""font-size:14px;""><span style=""font-family: georgia,serif;""><span data-scayt_word=""Cosabella"" data-scaytid=""2"">Cosabella</span>.</span></span></p>
		<p>
			<span style=""font-size:14px;""><span style=""font-family: georgia,serif;"">Wireless, <span data-scayt_word=""lycra"" data-scaytid=""4"">lycra</span> stretch bra with scallop edge design.</span></span></p>
		<p>
			<span style=""font-size:14px;""><span style=""font-family: georgia,serif;"">78% <span data-scayt_word=""Polyammide"" data-scaytid=""5"">Polyammide</span>, 10% Viscose, 12% <span data-scayt_word=""Elastam"" data-scaytid=""6"">Elastam</span>.</span></span></p>
	</div>
</div>
","","",48.0,0,0,,,
BARBADOS,S,Categories -> STORIES,SKU17676,SKU176761,COSABELLA SWEETIE SOFT BRA BARBADOS,48.0,,"<p>
	<span style=""font-size:14px;""><span style=""font-family: georgia,serif;""><span data-scayt_word=""Cosabella"" data-scaytid=""1"">Cosabella</span> is famous for its use of vibrant, cutting-edge colors and it believes that a woman&rsquo;s lingerie should be able to reflect her every mood.</span></span></p>
 <hr/> <div style=""display: block;"">
	<div style=""display: block;"">
		<div style=""display: block;"">
			<p>
				<span style=""font-size:14px;""><span style=""font-family: georgia,serif;""><span data-scayt_word=""Cosabella"" data-scaytid=""2"">Cosabella</span>.</span></span></p>
			<p>
				<span style=""font-size:14px;""><span style=""font-family: georgia,serif;"">Wireless, <span data-scayt_word=""lycra"" data-scaytid=""4"">lycra</span> stretch bra with scallop edge design.</span></span></p>
			<p>
				<span style=""font-size:14px;""><span style=""font-family: georgia,serif;"">78% <span data-scayt_word=""Polyammide"" data-scaytid=""5"">Polyammide</span>, 10% Viscose, 12% <span data-scayt_word=""Elastam"" data-scaytid=""6"">Elastam</span>.</span></span></p>
		</div>
	</div>
</div>
","","",48.0,0,0,,,
BARBADOS,M,Categories -> STORIES,SKU17676,SKU1767611,COSABELLA SWEETIE SOFT BRA BARBADOS,48.0,,"<p>
	<span style=""font-size:14px;""><span style=""font-family: georgia,serif;""><span data-scayt_word=""Cosabella"" data-scaytid=""1"">Cosabella</span> is famous for its use of vibrant, cutting-edge colors and it believes that a woman&rsquo;s lingerie should be able to reflect her every mood.</span></span></p>
 <hr/> <div style=""display: block;"">
	<div style=""display: block;"">
		<div style=""display: block;"">
			<p>
				<span style=""font-size:14px;""><span style=""font-family: georgia,serif;""><span data-scayt_word=""Cosabella"" data-scaytid=""2"">Cosabella</span>.</span></span></p>
			<p>
				<span style=""font-size:14px;""><span style=""font-family: georgia,serif;"">Wireless, <span data-scayt_word=""lycra"" data-scaytid=""4"">lycra</span> stretch bra with scallop edge design.</span></span></p>
			<p>
				<span style=""font-size:14px;""><span style=""font-family: georgia,serif;"">78% <span data-scayt_word=""Polyammide"" data-scaytid=""5"">Polyammide</span>, 10% Viscose, 12% <span data-scayt_word=""Elastam"" data-scaytid=""6"">Elastam</span>.</span></span></p>
		</div>
	</div>
</div>
","","",48.0,0,0,,,
BLUE,S,Categories -> STORIES,SKU17679,SKU176791,COSABELLA SWEETIE SOFT BRA BLUE,48.0,,"<p>
	<span style=""font-size:14px;""><span style=""font-family: georgia,serif;""><span data-scayt_word=""Cosabella"" data-scaytid=""1"">Cosabella</span> is famous for its use of vibrant, cutting-edge colors and it believes that a woman&rsquo;s lingerie should be able to reflect her every mood.</span></span></p>
 <hr/> <div style=""display: block;"">
	<div style=""display: block;"">
		<div style=""display: block;"">
			<div style=""display: block;"">
				<p>
					<span style=""font-size:14px;""><span style=""font-family: georgia,serif;""><span data-scayt_word=""Cosabella"" data-scaytid=""2"">Cosabella</span>.</span></span></p>
				<p>
					<span style=""font-size:14px;""><span style=""font-family: georgia,serif;"">Wireless, <span data-scayt_word=""lycra"" data-scaytid=""4"">lycra</span> stretch bra with scallop edge design.</span></span></p>
				<p>
					<span style=""font-size:14px;""><span style=""font-family: georgia,serif;"">78% <span data-scayt_word=""Polyammide"" data-scaytid=""5"">Polyammide</span>, 10% Viscose, 12% <span data-scayt_word=""Elastam"" data-scaytid=""6"">Elastam</span>.</span></span></p>
			</div>
		</div>
	</div>
</div>
","","",48.0,0,0,,,
BLUE,M,Categories -> STORIES,SKU17679,SKU176792,COSABELLA SWEETIE SOFT BRA BLUE,48.0,,"<p>
	<span style=""font-size:14px;""><span style=""font-family: georgia,serif;""><span data-scayt_word=""Cosabella"" data-scaytid=""1"">Cosabella</span> is famous for its use of vibrant, cutting-edge colors and it believes that a woman&rsquo;s lingerie should be able to reflect her every mood.</span></span></p>
 <hr/> <div style=""display: block;"">
	<div style=""display: block;"">
		<div style=""display: block;"">
			<div style=""display: block;"">
				<p>
					<span style=""font-size:14px;""><span style=""font-family: georgia,serif;""><span data-scayt_word=""Cosabella"" data-scaytid=""2"">Cosabella</span>.</span></span></p>
				<p>
					<span style=""font-size:14px;""><span style=""font-family: georgia,serif;"">Wireless, <span data-scayt_word=""lycra"" data-scaytid=""4"">lycra</span> stretch bra with scallop edge design.</span></span></p>
				<p>
					<span style=""font-size:14px;""><span style=""font-family: georgia,serif;"">78% <span data-scayt_word=""Polyammide"" data-scaytid=""5"">Polyammide</span>, 10% Viscose, 12% <span data-scayt_word=""Elastam"" data-scaytid=""6"">Elastam</span>.</span></span></p>
			</div>
		</div>
	</div>
</div>
","","",48.0,0,0,,,
BLACK,S,Categories -> STORIES,SKU17680,SKU176801,COSABELLA SWEETIE SOFT BRA BLACK,48.0,,"<p>
	<span style=""font-size:14px;""><span style=""font-family: georgia,serif;""><span data-scayt_word=""Cosabella"" data-scaytid=""1"">Cosabella</span> is famous for its use of vibrant, cutting-edge colors and it believes that a woman&rsquo;s lingerie should be able to reflect her every mood.</span></span></p>
 <hr/> <div style=""display: block;"">
	<div style=""display: block;"">
		<div style=""display: block;"">
			<div style=""display: block;"">
				<p>
					<span style=""font-size:14px;""><span style=""font-family: georgia,serif;""><span data-scayt_word=""Cosabella"" data-scaytid=""2"">Cosabella</span>.</span></span></p>
				<p>
					<span style=""font-size:14px;""><span style=""font-family: georgia,serif;"">Wireless, <span data-scayt_word=""lycra"" data-scaytid=""4"">lycra</span> stretch bra with scallop edge design.</span></span></p>
				<p>
					<span style=""font-size:14px;""><span style=""font-family: georgia,serif;"">78% <span data-scayt_word=""Polyammide"" data-scaytid=""5"">Polyammide</span>, 10% Viscose, 12% <span data-scayt_word=""Elastam"" data-scaytid=""6"">Elastam</span>.</span></span></p>
			</div>
		</div>
	</div>
</div>
","","",48.0,0,0,,,
BLACK,M,Categories -> STORIES,SKU17680,SKU1768011,COSABELLA SWEETIE SOFT BRA BLACK,48.0,,"<p>
	<span style=""font-size:14px;""><span style=""font-family: georgia,serif;""><span data-scayt_word=""Cosabella"" data-scaytid=""1"">Cosabella</span> is famous for its use of vibrant, cutting-edge colors and it believes that a woman&rsquo;s lingerie should be able to reflect her every mood.</span></span></p>
 <hr/> <div style=""display: block;"">
	<div style=""display: block;"">
		<div style=""display: block;"">
			<div style=""display: block;"">
				<p>
					<span style=""font-size:14px;""><span style=""font-family: georgia,serif;""><span data-scayt_word=""Cosabella"" data-scaytid=""2"">Cosabella</span>.</span></span></p>
				<p>
					<span style=""font-size:14px;""><span style=""font-family: georgia,serif;"">Wireless, <span data-scayt_word=""lycra"" data-scaytid=""4"">lycra</span> stretch bra with scallop edge design.</span></span></p>
				<p>
					<span style=""font-size:14px;""><span style=""font-family: georgia,serif;"">78% <span data-scayt_word=""Polyammide"" data-scaytid=""5"">Polyammide</span>, 10% Viscose, 12% <span data-scayt_word=""Elastam"" data-scaytid=""6"">Elastam</span>.</span></span></p>
			</div>
		</div>
	</div>
</div>
","","",48.0,0,0,,,
